COMPANY,TYPENAME,RAM,OS,WEIGHT,PRICE,IPS,TOUCHSCREEN,PIXELS_PI,CLOCK_SPEED,PROCESSOR,HDD,SSD,GPU COMPANY
Apple,Ultrabook,8,Mac,3.0140000000000007,1232.5148000000002,1,0,226.98300468106115,2.3,Intel Core i5,0,128,Intel
Apple,Ultrabook,8,Mac,2.9480000000000004,827.0248000000001,0,0,127.67794013309688,1.8,Intel Core i5,0,0,Intel
HP,Notebook,8,Other OS,4.0920000000000005,529.0,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel
Apple,Ultrabook,16,Mac,4.026000000000001,2334.4539999999997,1,0,220.53462386625827,2.7,Intel Core i7,0,512,AMD
Apple,Ultrabook,8,Mac,3.0140000000000007,1659.312,1,0,226.98300468106115,3.1,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,4.620000000000001,368.0,0,0,100.45466986113651,3.0,AMD Processor,500,0,AMD
Apple,Ultrabook,16,Mac,4.488,1968.7723999999998,1,0,220.53462386625827,2.2,Intel Core i7,0,0,Intel
Apple,Ultrabook,8,Mac,2.9480000000000004,1066.0040000000001,0,0,127.67794013309688,1.8,Intel Core i5,0,0,Intel
Asus,Ultrabook,16,Windows,2.8600000000000003,1375.4,0,0,157.3505121487356,1.8,Intel Core i7,0,512,Nvidia
Acer,Ultrabook,8,Windows,3.5200000000000005,708.4,1,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
HP,Notebook,4,Other OS,4.0920000000000005,362.388,0,0,100.45466986113651,2.5,Intel Core i5,500,0,Intel
HP,Notebook,4,Other OS,4.0920000000000005,317.3908,0,0,141.21199808219862,2.0,Intel Core i3,500,0,Intel
Apple,Ultrabook,16,Mac,4.026000000000001,2244.7724,1,0,220.53462386625827,2.8,Intel Core i7,0,256,AMD
Dell,Notebook,4,Windows,4.840000000000001,458.988,0,0,141.21199808219862,2.0,Intel Core i3,0,256,AMD
Apple,Ultrabook,8,Mac,2.0240000000000005,1161.4080000000001,1,0,226.41554716935852,1.2,Other Intel Processor,0,256,Intel
Apple,Ultrabook,8,Mac,3.0140000000000007,1397.066,1,0,226.98300468106115,2.3,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,4.840000000000001,685.4,0,0,141.21199808219862,2.7,Intel Core i7,0,256,AMD
Apple,Ultrabook,16,Mac,4.026000000000001,2629.36,1,0,220.53462386625827,2.9,Intel Core i7,0,512,AMD
Lenovo,Notebook,8,Other OS,4.840000000000001,459.08000000000004,0,0,141.21199808219862,2.4,Intel Core i3,1000,0,Nvidia
Dell,Ultrabook,8,Windows,2.684,900.6800000000001,1,1,165.6321180513006,1.6,Intel Core i5,0,128,Intel
Asus,Netbook,2,Windows,2.156,176.548,0,0,135.0942111925629,1.44,Other Intel Processor,0,0,Intel
Lenovo,Gaming,8,Windows,5.5,919.08,1,0,141.21199808219862,2.5,Intel Core i5,1000,128,Nvidia
HP,Notebook,4,Other OS,4.0920000000000005,237.36,0,0,100.45466986113651,1.5,AMD Processor,500,0,AMD
Dell,2 in 1 Convertible,8,Windows,3.5640000000000005,753.48,0,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel
